channel,message_id,text,timestamp,views,sender_id
Shageronlinestore,7479,"📣SEEDCO® INSULATED hOt pot

✔️ ፔርሙዝ ሳህን
✔️ made in india  🇮🇳
✔️ ትኩሱን ትኩስ ቀዝቃዛውን ቀዝቃዛ አድርጎ  ያቆያል
✔️ለዝግጅትና ለግብዣ እንዲሁም ለጉዞ የሚፈለግ
✔️ ክዳኑ አስተማማኞ መቆለፊያ ያለው
✔️2 ሊትር

       ዋጋ:-2000ብር

አድራሻ ቁ.1 👉 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

📍ቁ.2 👉ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን 100ሜ ወደ ሙዚቃ ቤት ከፍ ብሎ  #ዛም_ሞል 2ኛ ፎቅ ቢሮ.ቁ 214


    📲 0909522840
    📲 0923350054

👍ለቡ ቅርንጫፍ📲0973611819


🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore",2025-07-04T12:06:08+00:00,1722,
Shageronlinestore,7478,"💥 Long Sewer Cleaning Wire Spring

👉length:-1.60cm
👉Bringing more convenience to the people in their daily life.

⚡Quality iron wire and pp material
⚡Flexible spring cable and retractable claws
⚡Long enough to get deep into drains
⚡Remove any clogs and debris
⚡For kitchen, bathroom, sinks, drain, tubs, etc.


         ዋጋ፦ 600✅ ብር

🏢 አድራሻ  ቁ.1👉 ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

📍ቁ.2 👉ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214

👍ለቡ ቅርንጫፍ📲0973611819



     💧💧💧💧


    📲 0909522840
    📲 0923350054

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore",2025-07-04T07:15:26+00:00,2309,
Shageronlinestore,7477,"💥 Long Sewer Cleaning Wire Spring

👉length:-1.60cm
👉Bringing more convenience to the people in their daily life.

⚡Quality iron wire and pp material
⚡Flexible spring cable and retractable claws
⚡Long enough to get deep into drains
⚡Remove any clogs and debris
⚡For kitchen, bathroom, sinks, drain, tubs, etc.


         ዋጋ፦ 600✅ ብር

ኑሮወን የሚያቀሉ የተለያዩ እቃወች ከ #sheger_onlinestore

🏢 አድራሻ  ቁ.1👉 ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

📍ቁ.2 👉ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214

👍ለቡ ቅርንጫፍ📲0973611819




    📲 0909522840
    📲 0923350054

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore",2025-07-04T07:15:26+00:00,1956,
Shageronlinestore,7475,"💥 Kemei የፀጉር ማስተካከያ

👉የራስ ፀጉር እና ፂምን በስርአት እና በጥራት ለማስተካከል አስተማማኝ ማሽን 
👉በሚፈልጉት መጠን ለመቁረጥ መቀያየሪ ቁጥሮች ያሉት 
👉በቻርጅ የሚሰራ አስተማምኝ ባትሪ

    💥 Kemei professional hair clipper 
👉High quality material 
👉Professional Hair Clippers
👉Adjustable Taper Lever
👉chargeable and strong battery

     ዋጋ-2300ብር✅


🏢 አድራሻ ቁ.1 👉 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

📍ቁ.2 👉ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን 100ሜ ወደ ሙዚቃ ቤት ከፍ ብሎ  #ዛም_ሞል 2ኛ ፎቅ ቢሮ.ቁ 214


    📲 0909522840
    📲 0923350054

👍ለቡ ቅርንጫፍ📲0973611819


🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore",2025-07-03T17:03:49+00:00,2999,
Shageronlinestore,7474,"🙌 Artist   Humidifier

💥 በኤሌክትሪክ የሚሰራ 
💥 ለቤት መልካም መዓዛን የሚሰጥ
👉capacity-500ml
🚩Purify the air & Beautify the Environment
🚩Reducing soot soothe fatigue  

Your Home , Your Smile‼


     ዋጋ፦ 2,000ብር

🏢 አድራሻ ቁ.1 👉 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

📍ቁ.2 👉ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214


    📲 0909522840
    📲 0923350054

👍ለቡ ቅርንጫፍ📲0973611819

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore",2025-07-03T11:38:12+00:00,3529,
Shageronlinestore,7468,"💥Sonifer  2 in 1 Blender 

የጁስ የቡና የቅመም መፍጫ 

🔰Sokany Blender with 1.5 liters of capacity.
🔰 4 speed function with high quality stainless steel blades.
🔰watt 300w


ዋጋ፦  💰🏷  3,200ብር

🏢 አድራሻ ቁ.1 👉 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

📍ቁ.2 👉ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን 100ሜ ወደ ሙዚቃ ቤት ከፍ ብሎ  #ዛም_ሞል 2ኛ ፎቅ ቢሮ.ቁ 214


    📲 0909522840
    📲 0923350054

👍ለቡ ቅርንጫፍ📲0973611819


🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore",2025-07-03T07:17:07+00:00,3316,
Shageronlinestore,7467,"💥Geepas Meat Grinder

   👉2000 watts 
   👉Stainless Steel Blade
   👉1kg Capacity
   👉Reverse Function

ዋጋ፦  💰🏷  8200 ብር

ውስን ፍሬ ነው ያለን/ Limited Stock

🏢 አድራሻ ቁ.1 👉 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

📍ቁ.2 👉ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን  ወደ ሙዚቃ ቤት ከፍ ብሎ  #ዛም_ሞል 2ኛ ፎቅ ቢሮ.ቁ 214


    📲 0909522840
    📲 0923350054

👍ለቡ ቅርንጫፍ📲0973611819


🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore",2025-07-02T14:51:17+00:00,4021,
Shageronlinestore,7466,"🎯 የሸቶ መቀነሻ Mini spray pour

🔰የሸቶ መቀነሻ

ዋጋ፦  💰🏷  200 ብር

💥  ዉስን ፍሬ ነው ያለን
🏢 አድራሻ ቁ.1👉 መገናኛ ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)


📍ቁ.2 👉ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214


👍ለቡ ቅርንጫፍ📲0973611819
     💧💧💧💧


    📲 0909522840
    📲 0923350054

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore",2025-07-02T09:02:22+00:00,3961,
Shageronlinestore,7465,"💥 የሸቶ መቀነሻ Mini spray pour

🔰የሸቶ መቀነሻ

ዋጋ፦  💰🏷  200 ብር

🤜ዉስን ፍሬ ነው ያለን


🏢 አድራሻ ቁ.1👉 መገናኛ ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)


📍ቁ.2 👉ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214


👍ለቡ ቅርንጫፍ📲0973611819
     💧💧💧💧


    📲 0909522840
    📲 0923350054

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore",2025-07-02T09:02:22+00:00,3647,
Shageronlinestore,7464,"🎯Food Feeder Plus 

🔰 100% Food Grade Silicone 
🔰 BPA Free 
🔰 Latex Free 
🔰 Phthalate Free 
🔰 Non- Toxic 
🔰 Freeze Safe 
🔰 Microwave Safe 
🔰 Boil Safe 
🔰 Steam Safe 
🔰 Zero Month and Above


         ዋጋ:- 300ብር✅

🏢 አድራሻ ቁ.1 👉 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

📍ቁ.2 👉ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214


    📲 0909522840
    📲 0923350054

👍ለቡ ቅርንጫፍ📲0973611819

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore",2025-07-02T07:00:54+00:00,3562,
